2026-04-13T04:49:21.277Z auth auth.session_created "session created for ai:claude@joy via delegation token" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-13T19:32:51.519Z JOY-00D4-CC item.status_changed "in-progress -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-13T20:06:33.559Z release guard.denied "horst.schwarz@joydev.com must authenticate to perform this action. Run `joy auth`." [horst.schwarz@joydev.com]
2026-04-13T20:08:55.272Z v0.8.2 release.created [horst.schwarz@joydev.com]
2026-04-13T20:14:01.137Z JOY-00D5-2A item.created "Make just publish idempotent against duplicate publishes" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-13T20:14:13.166Z JOY-00D5-2A item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-13T20:14:13.174Z JOY-00D5-2A comment.added "[x] Dropped deprecated --token flag (cargo reads CARGO_REGISTRY_TOKEN from env automatically). [x] Wrapped cargo publish: capture output, treat 'is already uploaded' as success, propagate any other failure. Now safe to run from local AND CI on the same tag." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-13T20:14:13.191Z JOY-00D5-2A item.status_changed "in-progress -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-13T20:59:10.198Z JOY-00D6-DA item.created "Own the binary release workflow, use cargo-dist only as build lib" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-13T20:59:13.739Z JOY-00D6-DA item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-13T21:02:30.420Z JOY-00D6-DA comment.added "[x] cargo-dist's auto-generated release.yml deleted. [x] Hand-maintained release.yml added: matrix build per target (linux x86_64+aarch64, macos x86_64+aarch64, windows x86_64), dist build as subroutine for both local and global (installer-script) artifacts, gh release upload --clobber on existing release or gh release create if missing. [x] just release-binaries recipe for local equivalent. [x] dist-workspace.toml: ci=[] disables dist generate's CI output, comment warns against running dist init/generate. Joy's release.rs and the [y/N] forge-release prompt are untouched." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-13T21:02:30.440Z JOY-00D6-DA item.status_changed "in-progress -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
